                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4544,                0.96042,                0.92513,                0.70264,                0.62947,                0.70795,                0.44689,                 1.3583,                0.95538,                0.91951,              0.0001514,              0.0001514,              0.0001514
                     36,                 1.4286,                0.94055,                0.91782,                0.56845,                0.60786,                0.57804,                 0.3511,                 1.3924,                 1.1466,                0.91983,             0.00014869,             0.00014869,             0.00014869
                     37,                 1.4229,                 0.9432,                0.91982,                0.66995,                0.63017,                 0.6865,                0.43072,                  1.366,                 1.0052,                0.91793,             0.00014595,             0.00014595,             0.00014595
                     38,                 1.4165,                0.93444,                0.91817,                0.70427,                0.63946,                 0.7156,                0.45106,                 1.3478,                 0.9315,                0.91336,             0.00014315,             0.00014315,             0.00014315
                     39,                 1.4172,                0.93812,                0.91872,                0.71878,                0.64423,                0.72686,                0.45929,                 1.3494,                0.92051,                0.91454,             0.00014032,             0.00014032,             0.00014032
                     40,                  1.412,                0.93273,                0.91664,                0.62231,                0.61916,                0.64107,                0.39965,                 1.3632,                   1.03,                0.91268,             0.00013744,             0.00013744,             0.00013744
                     41,                 1.4108,                0.92787,                0.91377,                0.65396,                0.63562,                0.67644,                0.41783,                 1.3572,                0.98269,                0.91266,             0.00013454,             0.00013454,             0.00013454
                     42,                 1.4008,                0.92257,                0.91243,                0.69086,                0.64312,                0.70894,                0.44759,                 1.3449,                0.93241,                  0.914,             0.00013159,             0.00013159,             0.00013159
                     43,                 1.3905,                0.91699,                0.91106,                0.69292,                 0.6456,                0.71015,                 0.4483,                 1.3401,                0.93856,                0.90922,             0.00012862,             0.00012862,             0.00012862
                     44,                 1.3996,                0.92143,                0.91584,                0.65972,                 0.6329,                0.68396,                0.43048,                  1.347,                0.96097,                0.91225,             0.00012562,             0.00012562,             0.00012562
                     45,                 1.3979,                0.92198,                0.91416,                0.73732,                0.65686,                0.74556,                0.47773,                 1.3133,                0.89112,                 0.9062,              0.0001226,              0.0001226,              0.0001226
                     46,                 1.3832,                0.91706,                0.91099,                0.68782,                0.63178,                0.70144,                0.44607,                 1.3262,                0.95716,                0.90578,             0.00011955,             0.00011955,             0.00011955
                     47,                  1.401,                0.92849,                 0.9143,                0.68968,                0.64406,                0.70896,                0.44934,                 1.3373,                0.93738,                0.91198,             0.00011649,             0.00011649,             0.00011649
                     48,                 1.3958,                0.91776,                0.91184,                0.70768,                0.64561,                0.72517,                0.46321,                 1.3344,                0.93259,                0.91255,             0.00011341,             0.00011341,             0.00011341
                     49,                 1.3855,                0.91606,                0.91148,                0.73479,                0.65834,                0.74604,                0.48129,                 1.3033,                 0.8942,                0.90798,             0.00011032,             0.00011032,             0.00011032
                     50,                 1.3852,                  0.913,                0.91199,                0.65714,                0.63166,                0.68111,                0.43265,                 1.3293,                0.95843,                0.90919,             0.00010722,             0.00010722,             0.00010722
                     51,                 1.3853,                 0.9091,                0.90942,                0.72896,                0.65931,                0.74429,                0.48094,                 1.3074,                0.91314,                0.90601,             0.00010411,             0.00010411,             0.00010411
                     52,                 1.3794,                0.91016,                0.91145,                0.71704,                0.65112,                0.73173,                0.47158,                 1.3113,                0.93646,                 0.9053,               0.000101,               0.000101,               0.000101
                     53,                 1.3761,                0.90348,                0.90739,                0.73937,                0.65758,                0.74895,                0.48462,                 1.3143,                0.91434,                0.90816,              9.789e-05,              9.789e-05,              9.789e-05
                     54,                 1.3676,                0.89868,                0.90757,                0.73106,                0.65713,                 0.7431,                0.47781,                 1.3077,                0.90274,                 0.9051,             9.4784e-05,             9.4784e-05,             9.4784e-05
                     55,                 1.3775,                0.90739,                0.91172,                0.61491,                 0.6237,                0.64338,                0.40543,                 1.3411,                  1.053,                 0.9098,             9.1683e-05,             9.1683e-05,             9.1683e-05
                     56,                 1.3696,                0.90435,                0.90776,                0.66752,                0.63972,                0.69181,                0.44329,                  1.315,                0.94196,                0.90702,             8.8592e-05,             8.8592e-05,             8.8592e-05
                     57,                 1.3664,                0.90122,                0.90987,                0.69494,                0.64992,                0.72044,                0.46496,                  1.305,                0.93115,                0.90455,             8.5513e-05,             8.5513e-05,             8.5513e-05
                     58,                 1.3645,                0.90092,                0.90802,                0.72504,                0.65749,                0.74252,                0.47637,                 1.3061,                0.90517,                0.90418,             8.2449e-05,             8.2449e-05,             8.2449e-05
                     59,                 1.3634,                0.89823,                0.90821,                0.63354,                0.63777,                0.65401,                0.41184,                 1.3417,                 1.0469,                 0.9116,             7.9404e-05,             7.9404e-05,             7.9404e-05
                     60,                 1.3564,                0.89051,                0.90699,                0.73951,                0.66651,                0.75419,                0.48313,                 1.3427,                0.89568,                0.91267,              7.638e-05,              7.638e-05,              7.638e-05
                     61,                 1.3544,                0.89344,                0.90693,                0.67777,                0.63872,                0.69912,                0.44602,                 1.3099,                0.95818,                0.90303,              7.338e-05,              7.338e-05,              7.338e-05
                     62,                 1.3563,                0.89422,                0.90729,                0.66191,                0.64211,                0.68783,                 0.4396,                 1.3149,                0.97582,                0.90626,             7.0407e-05,             7.0407e-05,             7.0407e-05
                     63,                 1.3496,                0.88891,                0.90629,                0.66057,                0.63892,                0.68425,                0.43887,                 1.3051,                0.98764,                0.90364,             6.7465e-05,             6.7465e-05,             6.7465e-05
                     64,                 1.3412,                0.88489,                0.90436,                0.73658,                0.66504,                0.75312,                 0.4881,                 1.2884,                0.89426,                0.90211,             6.4556e-05,             6.4556e-05,             6.4556e-05
                     65,                 1.3481,                0.88805,                0.90376,                0.69336,                0.65656,                0.72016,                0.46478,                 1.2965,                0.92363,                 0.9031,             6.1682e-05,             6.1682e-05,             6.1682e-05
                     66,                 1.3446,                 0.8891,                0.90535,                0.72789,                0.66418,                0.74778,                0.48646,                 1.2831,                0.89179,                0.90102,             5.8848e-05,             5.8848e-05,             5.8848e-05
                     67,                 1.3436,                0.88751,                0.90544,                0.70384,                0.65237,                0.72619,                0.47101,                 1.2927,                 0.9144,                0.90173,             5.6055e-05,             5.6055e-05,             5.6055e-05
                     68,                 1.3365,                0.88196,                0.90535,                0.69621,                 0.6514,                0.71863,                0.46558,                 1.2813,                 0.9273,                0.90109,             5.3306e-05,             5.3306e-05,             5.3306e-05
                     69,                 1.3518,                0.89178,                0.90791,                0.74644,                0.66705,                0.76001,                0.49395,                 1.2924,                0.89583,                 0.9021,             5.0605e-05,             5.0605e-05,             5.0605e-05
                     70,                 1.3371,                0.88161,                0.90324,                0.72685,                0.66472,                0.74857,                0.48769,                 1.2872,                0.88284,                0.90236,             4.7953e-05,             4.7953e-05,             4.7953e-05
                     71,                 1.3303,                 0.8772,                0.90211,                0.70686,                 0.6609,                0.73097,                0.47619,                  1.283,                0.89517,                0.90146,             4.5354e-05,             4.5354e-05,             4.5354e-05
                     72,                 1.3415,                0.88472,                0.90364,                0.73801,                0.66745,                0.75585,                0.49268,                 1.2801,                0.87594,                0.89921,             4.2809e-05,             4.2809e-05,             4.2809e-05
                     73,                 1.3401,                0.87996,                0.90389,                0.73253,                0.66605,                 0.7503,                0.48865,                 1.2771,                0.88209,                0.89945,             4.0322e-05,             4.0322e-05,             4.0322e-05
                     74,                 1.3408,                 0.8847,                0.90605,                0.72114,                0.66834,                0.74647,                0.48728,                 1.2821,                0.88938,                0.90042,             3.7895e-05,             3.7895e-05,             3.7895e-05
                     75,                 1.3308,                0.87898,                0.90328,                0.71209,                0.65956,                  0.735,                0.47955,                 1.2818,                0.89335,                0.90086,              3.553e-05,              3.553e-05,              3.553e-05
                     76,                 1.3347,                0.87917,                0.90177,                0.70855,                0.65632,                0.73356,                0.47853,                 1.2785,                0.90829,                0.89963,              3.323e-05,              3.323e-05,              3.323e-05
                     77,                 1.3248,                0.87732,                0.90136,                 0.7429,                0.66896,                0.75903,                0.49653,                 1.2746,                 0.8706,                0.89887,             3.0996e-05,             3.0996e-05,             3.0996e-05
                     78,                 1.3381,                0.88378,                0.90515,                 0.6944,                0.65437,                0.72143,                0.46727,                 1.2885,                0.92364,                0.90095,             2.8832e-05,             2.8832e-05,             2.8832e-05
                     79,                 1.3341,                0.87497,                0.90144,                0.71106,                0.65917,                0.73613,                0.47971,                 1.2766,                0.89691,                0.89857,             2.6739e-05,             2.6739e-05,             2.6739e-05
                     80,                 1.3373,                0.87975,                0.90442,                0.69762,                0.65491,                 0.7217,                0.46804,                 1.2844,                0.91853,                0.89942,             2.4719e-05,             2.4719e-05,             2.4719e-05
                     81,                 1.3339,                0.87836,                0.90399,                0.73469,                0.66875,                0.75421,                0.49162,                 1.2754,                0.87208,                0.89976,             2.2775e-05,             2.2775e-05,             2.2775e-05
                     82,                 1.3363,                0.88156,                0.90197,                0.72996,                0.66709,                0.75037,                0.49164,                 1.2704,                0.87448,                0.89878,             2.0907e-05,             2.0907e-05,             2.0907e-05
                     83,                 1.3442,                0.88372,                0.90358,                0.72745,                 0.6672,                0.74906,                0.48886,                 1.2728,                0.88812,                0.89867,             1.9119e-05,             1.9119e-05,             1.9119e-05
                     84,                 1.3294,                0.87299,                0.90356,                0.74167,                0.67056,                0.75978,                0.49683,                 1.2738,                0.86845,                0.89838,             1.7412e-05,             1.7412e-05,             1.7412e-05
                     85,                 1.3286,                0.87251,                0.90287,                0.73131,                0.66818,                0.75204,                 0.4923,                 1.2703,                0.87581,                0.89833,             1.5787e-05,             1.5787e-05,             1.5787e-05
                     86,                 1.3367,                0.87564,                0.90377,                0.73418,                0.67132,                0.75597,                0.49463,                 1.2701,                 0.8709,                0.89799,             1.4246e-05,             1.4246e-05,             1.4246e-05
